employee_id,first_name,last_name,date_of_birth,email,phone_number,hire_date,job_title,department,manager_id,blood_status,wand_core,magical_rank,is_active,salary_galleons,performance_score,spell_efficiency,charm_accuracy,years_of_experience
1,GEace,Williams,1961-04-29,timothy59@summers-harrison.biz,+1-991-177-0773x1701,2017-06-24,Wand Safety Officer,Mystical Logistics,,Unknown,Phoenix Feather,Master,True,2237,1,7,5,11
2,Ashley,Reynolds,1863-03-01,jennifer76@hotmail.com,6690833945,2023-07-12,Senior Enchanter,Potion Research,,Unknown,Phoenix Feather,Apprentice,True,3801,1,7,6,8
3,Kerry,Schultz,1747-01-10,tiffanywhite@kirk-silva.com,475-503-2345x646,2022-06-10,Senior Enchanter,Mystical Logistics,,Unknown,Mysterious Core,Intern,False,3220,9,5,8,0
4,Jasmine,Michadl,1809-10-15,jeffrey67@johnson-ruiz.net,831-378-1324,2023-10-21,Junior Spell Crafter,HR & Muggle Relations,,Muggle-born,Dragon Heartstring,Apprentice,True,2789,10,10,5,7
5,Jennifer,Webb,1809-07-25,hernandezchristian@hotmail.com,735-806-0753x2241,2021-01-28,Potions Intern,Magical Security,,Unknown,Mysterious Core,Consultant,True,3508,10,6,7,13
6,Nicholas,Cherry,1818-08-29,dvega@hart-bray.com,559-617-8672,2012-04-15,Junior Spell Crafter,Spellcrafting,,Half-blood,Dragon Heartstring,Master,True,3453,10,3,1,12
7,Diane,Benitez,1997-12-14,swilson@martin-williams.com,001-780-462-0402x623,2005-12-20,Junior Spell Crafter,Magical Security,,Muggle-born,Unicorn Hair,Apprentice,True,2886,8,7,5,21
8,Thomas,Hinton,1935-12-16,williamsamy@gregory.info,+1-909-452-7183,2022-03-24,Wand Safety Officer,Wand Engineering,,Muggle-born,Unknown,Adept,False,3370,6,7,2,25
9,Cameron,Pennington,1992-01-08,woodalex@gmail.com,+1-025-137-0165x68677,2007-11-14,Junior Spell Crafter,Wand Engineering,,Muggle-born,Unicorn Hair,Consultant,False,4128,3,2,8,4
10,Sara,Ray,1947-08-08,delacruzjessica@howard.com,487.555.3737,2009-07-09,Wand Safety Officer,Mystical Logistics,,Muggle-born,Unicorn Hair,Master,False,3282,3,10,8,15
11,Vincent,Benitez,1749-02-23,jamesnathan@hotmail.com,0060143654,2010-01-21,Potions Intern,Potion Research,,Unknown,Phoenix Feather,Consultant,False,4865,1,10,5,1
12,Lauren,Palmer,1981-05-06,robin12@horton.com,(798)113-7565,2021-10-09,Senior Enchanter,HR & Muggle Relations,,Half-blood,Unicorn Hair,Consultant,True,1084,4,5,8,12
13,Qmy,Burch,1798-10-27,haleygonzalez@gmail.com,(036)034-7305x615,2005-10-19,Junior Spell Crafter,Potion Research,,Half-blood,Veela Hair,Intern,False,3878,5,6,3,19
14,Megan,Spence,2003-06-11,craneelizabeth@allen.com,(411)155-8137,2015-02-07,Master of Charms,Spellcrafting,,Half-blood,Phoenix Feather,Intern,True,1581,9,1,3,15
15,dusan,Green,1924-10-22,campbellmarissa@hotmail.com,522.444.6170x5079,2028-13-40,Junior Spell Crafter,Mystical Logistics,,Squib,Veela Hair,Intern,True,2382,5,8,9,7
16,Kristin,Roberson,1802-05-31,chaserichard@yahoo.com,103-664-4769x59785,2024-06-07,Wand Safety Officer,Mystical Logistics,,Half-blood,Mysterious Core,Adept,False,2623,7,4,3,16
17,Jacob,Thompson,1925-10-18,hallkayla@gmail.com,981.809.9753x7359,2024-11-17,Wand Safety Officer,Magical Security,,Squib,Thestral Tail Hair,Intern,True,514,10,3,8,15
18,Sarah,Beck,1966-08-10,joneskevin@gmail.com,001-505-810-3269x0887,2021-10-12,Potions Intern,HR & Muggle Relations,,Squib,Mysterious Core,Adept,True,4559,5,4,7,13
19,Scott,Stewart,1804-10-06,nicholassparks@moore.com,(611)380-6391x89276,2023-07-28,Potions Intern,Magical Security,,Half-blood,Unknown,Master,True,1503,1,2,8,21
20,John,Hansen,1837-02-03,bethjackson@atkins.biz,8124238376,2015-05-17,Junior Spell Crafter,Potion Research,,Unknown,Thestral Tail Hair,Adept,True,3337,6,8,1,24
21,Phyllis,Taylor,1726-11-24,doris39@gmail.com,293-339-4998,2012-04-11,Junior Spell Crafter,Wand Engineering,,Unknown,Dragon Heartstring,Apprentice,True,3724,5,8,3,15
22,Brian,Martin,1946-10-25,nboone@gmail.com,,2016-06-09,Master of Charms,HR & Muggle Relations,,Pureblood,Thestral Tail Hair,Master,True,4137,4,7,10,15
23,Brooke,Williams,1764-12-30,austinestrada@yahoo.com,280.324.5031x8823,2020-10-27,Magical HR Specialist,HR & Muggle Relations,,Half-blood,Mysterious Core,Master,False,1288,4,9,2,22
24,Paula,Diaz,1864-11-13,ocole@wise.org,(621)280-1028x0274,2028-13-40,Master of Charms,Wand Engineering,,Half-blood,Mysterious Core,Intern,False,3073,2,3,1,18
25,Donald,Payne,1983-05-19,alexander23@williams.com,124-191-3792x6878,2007-09-08,Master of Charms,Spellcrafting,,Unknown,Unicorn Hair,Adept,False,1981,2,7,4,16
26,Kathleen,Nguyen,1943-06-15,aroberson@jackson.com,+1-257-069-8111x649,2007-01-29,Potions Intern,Potion Research,,Squib,Veela Hair,Adept,False,1577,3,4,1,25
27,Alicia,Stewart,1844-04-28,andersonchristian@pugh.info,173-990-5326x382,2024-05-09,Magical HR Specialist,Wand Engineering,,Squib,Dragon Heartstring,Intern,True,859,6,3,5,20
28,Kenneth,Cain,1749-12-05,kgreen@morgan.biz,222-973-9891,2018-09-12,Senior Enchanter,HR & Muggle Relations,,Pureblood,Unknown,Consultant,False,3196,2,5,2,18
29,Kylie,Williams,1728-11-30,sdavenport@gmail.com,467.157.1964x835,2006-10-10,Senior Enchanter,Mystical Logistics,,Muggle-born,Dragon Heartstring,Adept,True,3856,2,9,9,13
30,Sara,Johnson,1857-12-15,david00@blevins.net,(200)545-2562x864,2025-02-09,Magical HR Specialist,Magical Security,,Pureblood,Unknown,Consultant,False,1492,9,2,1,5
31,Alyssa,Hernandez,1836-07-25,diazkevin@knight.com,856-480-4192x6577,2007-01-19,Potions Intern,Spellcrafting,,Pureblood,Thestral Tail Hair,Adept,False,3571,2,9,8,7
32,Jeremy,Mccarthy,1899-03-15,simmonslindsay@gmail.com,(590)381-1166x4181,2011-07-19,Wand Safety Officer,Magical Security,,Half-blood,Dragon Heartstring,Consultant,False,2162,1,10,7,9
33,Elijah,Tebb,1980-12-15,,(287)378-2532,2009-09-22,Wand Safety Officer,Wand Engineering,,Squib,Unknown,Intern,False,4746,1,2,7,17
34,EriFa,Parker,1901-02-09,obridges@webster.org,6171239132,2024-05-04,Potions Intern,Magical Security,,Half-blood,Unicorn Hair,Adept,False,3587,3,3,5,9
35,Sierra,Cobb,1985-12-30,mosesjeffery@yahoo.com,001-986-107-3393x559,2023-12-14,Junior Spell Crafter,Mystical Logistics,,Half-blood,Thestral Tail Hair,Adept,False,727,5,1,6,16
36,Martha,Best,1902-01-19,alexjackson@yahoo.com,+1-396-110-9936x7935,2020-10-20,Junior Spell Crafter,Mystical Logistics,,Squib,Unknown,Intern,False,2382,9,7,8,9
37,Corey,Keller,1984-11-02,,(742)097-0939x7531,2023-05-29,Senior Enchanter,Magical Security,,Pureblood,Mysterious Core,Apprentice,False,4763,1,1,6,5
38,Justin,Perez,1854-08-05,christopherjones@johnson-pearson.net,(680)293-7262x56767,2010-01-24,Wand Safety Officer,Magical Security,,Pureblood,Phoenix Feather,Intern,False,4632,3,1,2,5
39,Rebecaa,Hall,1809-08-14,tracy79@yahoo.com,(803)034-9324,2028-13-40,Master of Charms,Spellcrafting,,Unknown,Unknown,Consultant,False,1352,4,9,4,22
40,Raymond,Potter,1970-07-04,awilliams@ellis-cruz.com,1440000237,2010-08-03,Junior Spell Crafter,Spellcrafting,,Unknown,Phoenix Feather,Master,True,1025,10,7,3,7
41,Valerie,Harrison,1906-05-26,waltergilbert@reyes.com,+1-750-843-0187,2018-02-02,Junior Spell Crafter,Mystical Logistics,,Half-blood,Mysterious Core,Intern,False,2988,9,8,7,22
42,Adam,Gibson,1885-12-10,rcannon@miles-moss.com,318.284.7058x9338,2013-02-05,Magical HR Specialist,Wand Engineering,,Half-blood,Mysterious Core,Master,False,3497,9,9,7,9
43,Diana,Flynn,1852-01-10,,714-436-0911x2677,2007-12-14,Master of Charms,Magical Security,,Squib,Unicorn Hair,Apprentice,True,2355,1,7,1,7
44,Kenneth,Smith,1935-08-21,costascott@ruiz.biz,633-657-7697x851,2023-03-08,Potions Intern,Magical Security,,Pureblood,Dragon Heartstring,Adept,False,2880,10,2,3,10
45,Angelica,Larsen,1996-12-24,michael24@white.com,640-152-4454,2023-05-01,Magical HR Specialist,Mystical Logistics,,Squib,Dragon Heartstring,Master,False,1717,9,6,6,13
46,Melvin,Allen,1944-09-25,greenelizabeth@hill.com,(003)198-7292,2028-13-40,Wand Safety Officer,Potion Research,,Squib,Unknown,Master,False,1385,2,5,10,7
47,Jessica,Sanders,1874-09-18,zwilliams@ramos.info,202.478.4682x7984,2018-12-25,Junior Spell Crafter,Potion Research,,Half-blood,Thestral Tail Hair,Consultant,False,4518,4,8,1,13
48,Gina,Woods,1926-02-14,debra28@yahoo.com,793-999-4829,2014-04-16,Wand Safety Officer,HR & Muggle Relations,,Squib,Unicorn Hair,Adept,True,1397,2,5,7,21
49,Logan,BYll,1759-07-26,rreynolds@tucker.com,950-193-7050x402,2024-01-28,Wand Safety Officer,Mystical Logistics,,Half-blood,Thestral Tail Hair,Master,False,1477,5,1,5,24
50,Melissa,Mason,1952-02-22,gloria66@campbell.info,(995)729-7607,2010-11-02,Junior Spell Crafter,Wand Engineering,,Squib,Dragon Heartstring,Consultant,False,2158,4,7,4,10
51,Teresa,Bush,1982-12-22,jasonwilson@yahoo.com,001-027-016-1323x996,2006-10-18,Magical HR Specialist,Wand Engineering,16.0,Squib,Dragon Heartstring,Apprentice,True,2576,4,4,7,19
52,Cheryl,Moreno,1783-03-15,terri68@paul-williams.info,190-218-0731x5914,2008-08-13,Junior Spell Crafter,Wand Engineering,5.0,Muggle-born,Veela Hair,Adept,True,4536,10,2,8,5
53,Joanna,Pearson,1933-03-12,,367-541-2641,2015-12-24,Magical HR Specialist,Spellcrafting,10.0,Muggle-born,Unknown,Intern,True,1684,2,6,5,8
54,Samantha,Reed,1847-08-12,ecarpenter@brown-jenkins.org,959-514-1819x0785,2021-12-26,Master of Charms,Spellcrafting,28.0,Muggle-born,Veela Hair,Intern,True,2791,8,3,8,2
55,Jonathan,Hunter,1924-07-05,christian91@yahoo.com,232-075-8604x3603,2011-09-09,Potions Intern,HR & Muggle Relations,13.0,Muggle-born,Mysterious Core,Apprentice,True,4176,9,1,1,6
56,Shawn,Neal,1954-04-28,jasonmichael@hotmail.com,154.315.8404x0641,2009-09-10,Senior Enchanter,HR & Muggle Relations,31.0,Unknown,Thestral Tail Hair,Intern,True,695,10,7,1,3
57,Rebekah,Bishop,1807-03-25,deborah04@gmail.com,(581)520-3832x67748,2008-05-11,Potions Intern,Magical Security,39.0,Pureblood,Thestral Tail Hair,Consultant,False,695,1,3,6,14
58,Tonya,Haynes,1917-04-08,carrollalex@wade-turner.com,842.577.1564,2020-08-29,Potions Intern,Spellcrafting,40.0,Half-blood,Mysterious Core,Adept,True,1913,10,8,8,4
59,Paige,Bqackburn,1953-09-04,bbaker@gmail.com,(815)977-4617x11704,2018-11-11,Senior Enchanter,HR & Muggle Relations,7.0,Unknown,Unknown,Intern,True,3725,6,6,5,8
60,Nicholas,Mooney,1763-08-21,cody81@white.org,+1-892-937-6235x1289,2024-03-15,Senior Enchanter,Potion Research,27.0,Pureblood,Unicorn Hair,Apprentice,False,3062,8,4,8,3
61,Patrick,Guerra,1819-08-04,drichardson@hotmail.com,(725)567-3978x4931,2028-13-40,Wand Safety Officer,Potion Research,3.0,Unknown,Unknown,Apprentice,True,3870,5,2,8,12
62,Kathryn,Cook,1917-06-22,kevin22@griffith-guzman.info,+1-302-620-4624,2018-11-08,Potions Intern,Wand Engineering,35.0,Muggle-born,Veela Hair,Consultant,False,3136,7,1,4,16
63,Daniel,Richardson,1829-03-09,hessedward@thomas.net,5719359665,2017-04-29,Wand Safety Officer,Spellcrafting,24.0,Muggle-born,Unicorn Hair,Consultant,True,3336,10,6,2,17
64,Brandon,Herring,1859-07-23,antoniosanchez@cruz-garcia.com,+1-234-257-6073x2119,2011-08-07,Senior Enchanter,Mystical Logistics,16.0,Half-blood,Veela Hair,Intern,False,3500,8,10,10,6
65,Jack,Johnson,1829-01-14,brian20@yahoo.com,6225595393,2019-10-03,Master of Charms,Spellcrafting,6.0,Half-blood,Unicorn Hair,Intern,True,1201,7,9,10,2
66,Christine,Barnes,1728-02-10,,(375)998-7176x08733,2024-02-17,Wand Safety Officer,Potion Research,35.0,Half-blood,Unknown,Apprentice,False,2958,3,4,6,20
67,Cathy,Ross,1953-03-19,,+1-544-822-6542x1726,2011-06-16,Master of Charms,Spellcrafting,9.0,Muggle-born,Unicorn Hair,Master,False,1856,4,10,1,17
68,Ronald,Vincent,1944-05-24,gdaniels@burns.net,,2010-04-13,Senior Enchanter,Potion Research,30.0,Squib,Mysterious Core,Apprentice,False,1611,6,4,4,25
69,Sazah,Maldonado,1917-02-19,timothy80@hotmail.com,+1-065-621-2345,2009-11-29,Senior Enchanter,Wand Engineering,20.0,Unknown,Veela Hair,Master,False,825,4,5,2,24
70,Amanda,Smith,1805-01-19,jill05@howell.biz,,2008-07-16,Potions Intern,Magical Security,7.0,Half-blood,Phoenix Feather,Intern,False,2748,2,7,6,5
71,Charles,Nelson,1747-11-12,sarahlopez@hotmail.com,933-753-7353x15256,2007-09-14,Potions Intern,Mystical Logistics,38.0,Squib,Unknown,Intern,False,628,5,3,1,16
72,Kimberly,Valenzuela,1912-08-19,michelle75@gmail.com,2270204474,2011-05-06,Junior Spell Crafter,Potion Research,23.0,Half-blood,Thestral Tail Hair,Master,False,2293,2,9,1,3
73,Colin,Cervantes,1846-05-26,velazquezandrew@miller.info,250.069.2659x5321,2017-01-15,Potions Intern,Potion Research,5.0,Squib,Unicorn Hair,Master,True,3095,3,7,4,14
74,Desiree,Fischer,1875-04-19,thomas66@hotmail.com,001-599-534-3308x905,2014-07-22,Wand Safety Officer,Mystical Logistics,22.0,Unknown,Phoenix Feather,Intern,False,3913,10,6,6,14
75,Deborah,Porter,1977-08-18,smithamy@alvarado.org,(618)459-1148x25115,2011-10-12,Potions Intern,HR & Muggle Relations,8.0,Unknown,Dragon Heartstring,Adept,True,2482,3,10,7,21
76,Olivia,Walker,1781-06-23,brownterri@flores.biz,001-486-137-2847x08357,2005-06-13,Wand Safety Officer,Mystical Logistics,30.0,Unknown,Thestral Tail Hair,Intern,True,4986,6,7,2,13
77,Robert,Roberts,1856-05-23,maxwellgregory@boone.org,7247081291,2012-07-07,Junior Spell Crafter,Mystical Logistics,7.0,Squib,Thestral Tail Hair,Adept,True,781,6,4,6,11
78,Linda,Tyler,1738-03-13,kylefox@frank-adams.info,379-850-9415x2050,2012-04-26,Wand Safety Officer,Potion Research,14.0,Muggle-born,Phoenix Feather,Consultant,False,1797,1,8,7,12
79,Kristin,ThSmas,1867-11-14,megangreene@weber.biz,744-718-8774x3441,2024-07-17,Senior Enchanter,Potion Research,35.0,Half-blood,Phoenix Feather,Adept,False,4077,7,1,1,14
80,Roberto,Parks,1994-08-04,bbrown@crane.biz,081-759-9733x373,2005-06-01,Potions Intern,Wand Engineering,9.0,Squib,Thestral Tail Hair,Master,True,4533,6,3,8,10
81,Renee,Zimmerman,1999-12-10,hallbenjamin@hotmail.com,821-054-6027,2014-10-13,Potions Intern,HR & Muggle Relations,24.0,Squib,Phoenix Feather,Apprentice,False,2466,9,6,10,0
82,Travis,Mitchell,1960-04-11,margaretcox@thompson-graves.biz,643.215.3189x4271,2025-02-18,Senior Enchanter,Mystical Logistics,38.0,Half-blood,Mysterious Core,Apprentice,False,4946,2,1,10,19
83,Kathleen,Miller,1886-12-09,collinsdana@yahoo.com,+1-083-035-3025x8218,2019-11-12,Magical HR Specialist,Wand Engineering,40.0,Squib,Mysterious Core,Consultant,True,762,5,1,2,5
84,Mary,Miller,1736-08-19,,+1-825-075-4338x404,2007-02-05,Senior Enchanter,Potion Research,1.0,Squib,Unicorn Hair,Apprentice,True,3707,8,2,6,9
85,Vanessa,Estrada,1744-06-09,emiller@yahoo.com,+1-085-392-0343x912,2020-09-29,Potions Intern,Wand Engineering,49.0,Pureblood,Dragon Heartstring,Adept,False,3999,1,7,7,3
